state,representative_city,latitude,longitude,notes
Andhra Pradesh,Vijayawada,16.5062,80.6480,Load center; capital Amaravati is nearby
Arunachal Pradesh,Itanagar,27.0844,93.6053,
Assam,Guwahati,26.1445,91.7362,Largest load center in the state
Bihar,Patna,25.5941,85.1376,
Chhattisgarh,Raipur,21.2514,81.6296,
Goa,Panaji,15.4909,73.8278,
Gujarat,Ahmedabad,23.0225,72.5714,Load center; capital is Gandhinagar (adjacent)
Haryana,Gurugram,28.4595,77.0266,Largest load center in the state
Himachal Pradesh,Shimla,31.1048,77.1734,
Jharkhand,Ranchi,23.3441,85.3096,
Karnataka,Bengaluru,12.9716,77.5946,
Kerala,Kochi,9.9312,76.2673,Largest load center; capital is Thiruvananthapuram
Madhya Pradesh,Bhopal,23.2599,77.4126,
Maharashtra,Mumbai,19.0760,72.8777,Largest load center; capital city
Manipur,Imphal,24.8170,93.9368,
Meghalaya,Shillong,25.5788,91.8933,
Mizoram,Aizawl,23.7271,92.7176,
Nagaland,Kohima,25.6751,94.1086,
Odisha,Bhubaneswar,20.2961,85.8245,
Punjab,Ludhiana,30.9010,75.8573,Largest load center; capital is Chandigarh (shared UT)
Rajasthan,Jaipur,26.9124,75.7873,
Sikkim,Gangtok,27.3389,88.6065,
Tamil Nadu,Chennai,13.0827,80.2707,
Telangana,Hyderabad,17.3850,78.4867,
Tripura,Agartala,23.8315,91.2868,
Uttar Pradesh,Lucknow,26.8467,80.9462,Large state; consider splitting east/west later
Uttarakhand,Dehradun,30.3165,78.0322,
West Bengal,Kolkata,22.5726,88.3639,
Delhi,New Delhi,28.6139,77.2090,
Puducherry,Puducherry,11.9416,79.8083,
Jammu and Kashmir,Srinagar,34.0837,74.7973,Large seasonal temperature swing vs Jammu; revisit if needed
Ladakh,Leh,34.1526,77.5771,
Chandigarh,Chandigarh,30.7333,76.7794,
